ID,age,capacity,lower_n_claimed,higher_n_claimed,equal_human_rating,equal_collab_rating
150,19.0,2.96,4.1,4.05,6.0,8.0
154,20.0,6.3,4.0,4.05,8.0,8.0
158,20.0,6.92,4.0,4.0,7.0,8.0
159,22.0,4.72,4.25,4.0,7.0,8.0
161,19.0,4.31,4.0,4.0,8.0,4.0
162,19.0,6.22,4.1,4.0,10.0,8.0
163,20.0,7.58,4.0,4.0,5.0,7.0
165,20.0,4.22,4.0,4.05,8.0,7.0
167,19.0,4.12,4.35,4.3,5.0,5.0
168,19.0,6.45,4.45,4.0,9.0,4.0
169,29.0,3.96,4.0,4.0,1.0,10.0
171,20.0,6.2,4.55,4.0,8.0,6.0
172,20.0,5.38,4.0,4.0,1.0,10.0
175,20.0,8.12,4.0,4.05,8.0,7.0
176,22.0,5.05,4.0,4.0,3.0,6.0
177,20.0,5.59,4.7,4.3,1.0,7.0
178,20.0,6.37,4.0,4.0,7.0,9.0
179,20.0,5.45,4.0,3.95,9.0,8.0
180,20.0,1.54,4.0,4.0,4.0,5.0
182,27.0,9.41,4.35,4.0,6.0,9.0
183,23.0,6.92,4.0,4.0,4.0,4.0
186,19.0,6.63,4.0,4.0,4.0,7.0
188,20.0,5.11,4.2,4.05,10.0,10.0
189,19.0,6.34,4.0,4.0,6.0,8.0
190,20.0,6.22,4.0,4.15,7.0,10.0
191,19.0,4.8,4.0,4.0,1.0,8.0
196,20.0,4.02,4.0,4.0,8.0,9.0
197,19.0,6.72,4.0,4.0,9.0,7.0
200,21.0,5.64,4.0,4.0,6.0,8.0
201,20.0,4.02,4.0,4.0,4.0,7.0
203,19.0,6.79,4.0,4.0,7.0,9.0
204,19.0,3.63,4.05,4.0,2.0,8.0
205,23.0,8.12,4.1,4.0,9.0,8.0
206,19.0,3.72,4.0,4.05,8.0,8.0
208,22.0,5.75,4.0,4.05,5.0,7.0
211,20.0,6.05,4.0,4.0,7.0,4.0
213,0.0,7.43,4.0,4.0,5.0,5.0
214,19.0,5.17,4.0,4.0,1.0,5.0
219,22.0,8.09,4.3,4.1,3.0,6.0
223,19.0,5.06,4.0,4.0,6.0,4.0
224,20.0,3.62,4.05,4.1,10.0,9.0
228,20.0,5.13,4.0,4.0,8.0,7.0
229,20.0,5.49,4.35,4.05,8.0,8.0
231,19.0,4.6,4.0,4.0,7.0,8.0
235,0.0,5.27,4.2,4.0,6.0,6.0
241,20.0,5.85,4.0,4.0,7.0,8.0
243,20.0,3.99,4.0,4.0,1.0,6.0
249,19.0,2.73,4.1,4.0,5.0,4.0
